 original      webp   saved                 dims    rms  file
    133KB      78KB     42%             798x1200   2.32  public/images/Photo Frame/5 Window seat poster.jpg
    322KB     267KB     17%             1600x900   2.96  public/images/homegrid/Travel/travel11_landscape.jpg
    449KB     394KB     12%            1200x1600   2.82  public/images/homegrid/Travel/travel14_portrait.jpg
    119KB      67KB     44%              595x842   3.42  public/images/Marketing Campaigns/Brochures and reports/EDITORIAL/Content Page 2.png
     59KB       9KB     85%              927x130   5.93  public/images/Brand Identity/Orbitshift Podcast/TRAJECTORY.jpg
    141KB      92KB     35%             900x1600   1.95  public/images/homegrid/Travel/travel15_portrait.jpg
     54KB       5KB     91%              820x465   1.12  public/images/homegrid/Design/card03_forge_logo.png
    370KB     321KB     13%             900x1600   3.10  public/images/homegrid/Travel/travel16_portrait.jpg
    324KB     277KB     14%             1600x810   3.00  public/images/homegrid/Travel/travel13_pano.jpg
    424KB     382KB     10%             900x1600   3.11  public/images/homegrid/Travel/travel17_portrait.jpg
     56KB      14KB     76%             1545x986   0.01  public/images/career/logo-rd.png
     44KB       6KB     85%              421x125   8.25  public/images/Brand Identity/Orbitshift Podcast/ESCAPE.jpg
    332KB     295KB     11%             1600x900   2.90  public/images/homegrid/Travel/travel10_landscape.jpg
    172KB     136KB     21%             1600x533   2.67  public/images/homegrid/Travel/travel05_sikkim_pano.jpg
     97KB      63KB     35%            1920x1440   1.50  public/images/Certificates/2.jpg
     44KB      13KB     71%              820x465   1.70  public/images/homegrid/Design/card15_project_agresar.png
     71KB      42KB     41%            1920x1370   1.10  public/images/Certificates/1.jpg
     70KB      41KB     41%            1920x1370   1.10  public/images/Certificates/3.jpg
     44KB      22KB     50%             1190x217   1.25  public/images/Brand Identity/Forge/FUSION.png
     22KB       8KB     66%            1024x1024   0.77  public/images/aiworkflow/cursor.png
     58KB      52KB     11%             1152x528   2.16  public/images/homegrid/Travel/travel02_night_wide.jpg
--------------------------------------------------------------------------------------------------------------
 125.53MB   14.11MB     89%   121 files, 7 also resized
